fon,borsa_kodu,isin_kod
AZİMUT PYŞ MUTLAK GETİRİ HEDEFLİ SERBEST FON,IBR,TRYISMD00274
AZİMUT PYŞ SERBEST ( DÖVİZ ) FON,FYH,TRYAZIM00085
AZİMUT PYŞ STRATEJİ-1 SERBEST FON,AZJ,TRYAZIM00127
AZİMUT PYŞ YABANCI BYF FON SEPETİ FONU,GBC,TRYGLMK00013
AZİMUT PYŞ ÇOKLU VARLIK DEĞİŞKEN FON,GMA,TRMBYKWWWWW5
DENİZ PORFÖY TUAL SERBEST (DÖVİZ) ÖZEL FON,DPU,TRYDNZP00140
DENİZ PORTFÖY ALTIN FONU,DBA,TRYDZBK00070
DENİZ PORTFÖY ALTINCI SERBEST FON,DDA,TRYDNZP00397
DENİZ PORTFÖY ARMUT SERBEST (DÖVİZ) ÖZEL FON,DAT,TRYDNZP00256
DENİZ PORTFÖY ARSLAN SERBEST (DÖVİZ) ÖZEL FON,DPA,TRYDNZP00207
DENİZ PORTFÖY ARTI SERBEST (DÖVİZ) ÖZEL FON,DAI,TRYDNZP00249
DENİZ PORTFÖY BADE SERBEST (DÖVİZ) ÖZEL FON,DDE,TRYDNZP00264
DENİZ PORTFÖY BEYAZ SERBEST ÖZEL FONU,DBG,TRYDZBK00252
DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,DZM,TRYDNZP00371
DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),DZE,TRMDZEWWWWW1
DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,DBP,TRYDZBK00021
DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,DSP,TRYDNZP00066
DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),DPT,TRYDNZP00074
DENİZ PORTFÖY CÖMERT SERBEST (DÖVİZ) ÖZEL FON,DCP,TRYDNZP00314
DENİZ PORTFÖY DAMLA SERBEST ÖZEL FON,DDS,TRYDNZP00017
DENİZ PORTFÖY DÖRDÜNCÜ SERBEST FON,DDC,TRYDNZP00272
